pipeline_version,spec,training_method,training_description,strict_replication_end,test_start,test_end,n_test,first_training_cutoff_date,last_training_cutoff_date,mspe_model,mspe_benchmark,r2_oos,r2_oos_x100,forecast_strategy_sharpe,forecast_strategy_return_basis,symbol
boundary_corrected_v1,eq5_onfh,expanding,Re-estimate each prediction day using strict replication sample plus prior OOS observations,2020-05-01,2021-01-05,2025-12-31,1224,2020-05-01,2025-12-30,7.139482003482754e-06,6.824987737651273e-06,-0.0460798287001331,-4.607982870013316,-0.5650540963789487,r_LH_executable,ES.v.0
boundary_corrected_v1,eq5_onfh,frozen_2020,Estimate once using strict replication sample through 2020-05-01; hold fixed through OOS,2020-05-01,2021-01-05,2025-12-31,1224,2020-05-01,2020-05-01,7.304957796623859e-06,6.823350729689923e-06,-0.0705821942932458,-7.058219429324586,-0.4724337000968208,r_LH_executable,ES.v.0
boundary_corrected_v1,eq6_onfh_m_slh,expanding,Re-estimate each prediction day using strict replication sample plus prior OOS observations,2020-05-01,2021-01-05,2025-12-31,1224,2020-05-01,2025-12-30,7.050442867489053e-06,6.824987737651273e-06,-0.0330337780087157,-3.3033778008715764,0.2352907504934603,r_LH_executable,ES.v.0
boundary_corrected_v1,eq6_onfh_m_slh,frozen_2020,Estimate once using strict replication sample through 2020-05-01; hold fixed through OOS,2020-05-01,2021-01-05,2025-12-31,1224,2020-05-01,2020-05-01,7.210521694397692e-06,6.823350729689923e-06,-0.0567420582710342,-5.674205827103429,0.2361346123401858,r_LH_executable,ES.v.0
boundary_corrected_v1,eq7_rod,expanding,Re-estimate each prediction day using strict replication sample plus prior OOS observations,2020-05-01,2021-01-05,2025-12-31,1224,2020-05-01,2025-12-30,7.100913646237481e-06,6.824987737651273e-06,-0.0404287771923768,-4.042877719237681,0.2261200864988318,r_LH_executable,ES.v.0
boundary_corrected_v1,eq7_rod,frozen_2020,Estimate once using strict replication sample through 2020-05-01; hold fixed through OOS,2020-05-01,2021-01-05,2025-12-31,1224,2020-05-01,2020-05-01,7.243740356282212e-06,6.823350729689923e-06,-0.061610437927964,-6.161043792796406,0.1107827667165608,r_LH_executable,ES.v.0
boundary_corrected_v1,eq5_onfh,expanding,Re-estimate each prediction day using strict replication sample plus prior OOS observations,2020-05-01,2021-01-05,2025-12-31,1224,2020-05-01,2025-12-30,9.647674721725832e-06,9.260285685555183e-06,-0.0418333785074171,-4.18333785074172,-0.8615762645419713,r_LH_executable,NQ.v.0
boundary_corrected_v1,eq5_onfh,frozen_2020,Estimate once using strict replication sample through 2020-05-01; hold fixed through OOS,2020-05-01,2021-01-05,2025-12-31,1224,2020-05-01,2020-05-01,9.942223260512536e-06,9.257181134442978e-06,-0.0740011582489985,-7.400115824899856,-0.9703766329059472,r_LH_executable,NQ.v.0
boundary_corrected_v1,eq6_onfh_m_slh,expanding,Re-estimate each prediction day using strict replication sample plus prior OOS observations,2020-05-01,2021-01-05,2025-12-31,1224,2020-05-01,2025-12-30,9.51037946222386e-06,9.260285685555183e-06,-0.0270071340303019,-2.700713403030197,0.1601308273658322,r_LH_executable,NQ.v.0
boundary_corrected_v1,eq6_onfh_m_slh,frozen_2020,Estimate once using strict replication sample through 2020-05-01; hold fixed through OOS,2020-05-01,2021-01-05,2025-12-31,1224,2020-05-01,2020-05-01,9.7886369979754e-06,9.257181134442978e-06,-0.0574101182437756,-5.741011824377562,0.0266033840258022,r_LH_executable,NQ.v.0
boundary_corrected_v1,eq7_rod,expanding,Re-estimate each prediction day using strict replication sample plus prior OOS observations,2020-05-01,2021-01-05,2025-12-31,1224,2020-05-01,2025-12-30,9.514706098356375e-06,9.260285685555183e-06,-0.027474358938845,-2.747435893884509,-0.2033643589468579,r_LH_executable,NQ.v.0
boundary_corrected_v1,eq7_rod,frozen_2020,Estimate once using strict replication sample through 2020-05-01; hold fixed through OOS,2020-05-01,2021-01-05,2025-12-31,1224,2020-05-01,2020-05-01,9.695732203249767e-06,9.257181134442978e-06,-0.0473741479655271,-4.737414796552719,-0.111047242623178,r_LH_executable,NQ.v.0
boundary_corrected_v1,eq5_onfh,expanding,Re-estimate each prediction day using strict replication sample plus prior OOS observations,2020-05-01,2021-01-05,2025-12-31,1226,2020-05-01,2025-12-30,1.5295315045258851e-06,1.5176141596472186e-06,-0.0078526842958797,-0.7852684295879708,0.5008066576711605,r_LH_executable,GC.v.0
boundary_corrected_v1,eq5_onfh,frozen_2020,Estimate once using strict replication sample through 2020-05-01; hold fixed through OOS,2020-05-01,2021-01-05,2025-12-31,1226,2020-05-01,2020-05-01,1.535165646668141e-06,1.5172627594743753e-06,-0.0117994639240783,-1.179946392407838,0.3588846720075875,r_LH_executable,GC.v.0
boundary_corrected_v1,eq6_onfh_m_slh,expanding,Re-estimate each prediction day using strict replication sample plus prior OOS observations,2020-05-01,2021-01-05,2025-12-31,1226,2020-05-01,2025-12-30,1.5562660419711626e-06,1.5176141596472186e-06,-0.0254688466618742,-2.546884666187421,0.0299432571903298,r_LH_executable,GC.v.0
boundary_corrected_v1,eq6_onfh_m_slh,frozen_2020,Estimate once using strict replication sample through 2020-05-01; hold fixed through OOS,2020-05-01,2021-01-05,2025-12-31,1226,2020-05-01,2020-05-01,1.5703806850518163e-06,1.5172627594743753e-06,-0.0350090485288405,-3.500904852884057,0.2461769321824988,r_LH_executable,GC.v.0
boundary_corrected_v1,eq7_rod,expanding,Re-estimate each prediction day using strict replication sample plus prior OOS observations,2020-05-01,2021-01-05,2025-12-31,1226,2020-05-01,2025-12-30,1.5393162737289793e-06,1.5176141596472186e-06,-0.0143001526071722,-1.4300152607172212,0.4135030711124111,r_LH_executable,GC.v.0
boundary_corrected_v1,eq7_rod,frozen_2020,Estimate once using strict replication sample through 2020-05-01; hold fixed through OOS,2020-05-01,2021-01-05,2025-12-31,1226,2020-05-01,2020-05-01,1.549371772326913e-06,1.5172627594743753e-06,-0.0211624602607798,-2.1162460260779836,0.2669841933986231,r_LH_executable,GC.v.0
boundary_corrected_v1,eq5_onfh,expanding,Re-estimate each prediction day using strict replication sample plus prior OOS observations,2020-05-01,2021-01-05,2025-12-31,1213,2020-05-01,2025-12-30,1.877126006886254e-05,1.8771048619507783e-05,-1.1264653299036809e-05,-0.0011264653299036,-0.4329460002744222,r_LH_executable,CL.v.0
boundary_corrected_v1,eq5_onfh,frozen_2020,Estimate once using strict replication sample through 2020-05-01; hold fixed through OOS,2020-05-01,2021-01-05,2025-12-31,1213,2020-05-01,2020-05-01,1.8877609417065543e-05,1.889442543931381e-05,0.000889999132404,0.0889999132404062,-0.6009329538265709,r_LH_executable,CL.v.0
boundary_corrected_v1,eq6_onfh_m_slh,expanding,Re-estimate each prediction day using strict replication sample plus prior OOS observations,2020-05-01,2021-01-05,2025-12-31,1213,2020-05-01,2025-12-30,2.2294193111879444e-05,1.8771048619507783e-05,-0.1876903397240279,-18.769033972402795,0.1189184613006782,r_LH_executable,CL.v.0
boundary_corrected_v1,eq6_onfh_m_slh,frozen_2020,Estimate once using strict replication sample through 2020-05-01; hold fixed through OOS,2020-05-01,2021-01-05,2025-12-31,1213,2020-05-01,2020-05-01,2.326080740708e-05,1.889442543931381e-05,-0.2310936620851684,-23.10936620851685,0.2107860376971533,r_LH_executable,CL.v.0
boundary_corrected_v1,eq7_rod,expanding,Re-estimate each prediction day using strict replication sample plus prior OOS observations,2020-05-01,2021-01-05,2025-12-31,1213,2020-05-01,2025-12-30,1.922541080956932e-05,1.8771048619507783e-05,-0.0242054772363298,-2.420547723632982,-0.3378887714621739,r_LH_executable,CL.v.0
