sample,strategy,strategy_price_type,return_basis,round_trip_ticks,nobs,trade_count,trade_rate,avg_daily,avg_ann,avg_ann_pct,vol_ann,vol_ann_pct,sharpe,success_rate,max_drawdown,avg_trade_return,avg_trade_return_bp,t_stat_mean,p_value_mean,year
replication,timing_rONFH,paper_statistical,r_LH,0,137,137,1.0,0.0008680267663456081,0.21874274511909325,21.874274511909324,0.06683840257794729,6.68384025779473,3.2727105478619767,0.6131386861313869,-0.026134474825929677,0.0008680267663456081,8.680267663456082,2.413057159301299,0.017151646071583926,2010
replication,timing_agree_ONFH_ROD,paper_statistical,r_LH,0,137,106,0.7737226277372263,0.00046090282839409,0.11614751275531068,11.614751275531068,0.06008745577757512,6.008745577757512,1.9329743829602684,0.45255474452554745,-0.02436450312586591,0.00046090282839409,4.6090282839409,1.4252337948418536,0.15638060819403,2010
replication,timing_rROD,paper_statistical,r_LH,0,137,137,1.0,-2.7966554242677008e-05,-0.007047571669154606,-0.7047571669154605,0.06825279633685305,6.825279633685305,-0.10325689271941631,0.5036496350364964,-0.0667491312253814,-2.7966554242677008e-05,-0.27966554242677005,-0.07613407314208408,0.9394243161141722,2010
replication,always_long,paper_statistical,r_LH,0,137,137,1.0,0.00048337764483377655,0.12181116649811169,12.18111664981117,0.06781835305826915,6.781835305826915,1.7961386705078524,0.5401459854014599,-0.028724164257211138,0.00048337764483377655,4.833776448337765,1.324341158370502,0.1876110652870484,2010
replication,timing_rONFH,paper_statistical,r_LH,0,238,238,1.0,0.00033376555601065427,0.08410892011468488,8.410892011468487,0.0928818887688082,9.288188876880819,0.9055470472186449,0.542016806722689,-0.07182565200617508,0.00033376555601065427,3.3376555601065427,0.8800335451418541,0.3797326104743801,2011
replication,timing_agree_ONFH_ROD,paper_statistical,r_LH,0,238,180,0.7563025210084033,0.00041280581953039757,0.10402706652166019,10.40270665216602,0.07925570522111271,7.925570522111271,1.3125498818216144,0.40756302521008403,-0.0523627810372137,0.00041280581953039757,4.128058195303976,1.2755692034144528,0.20335668426781872,2011
replication,timing_rROD,paper_statistical,r_LH,0,238,238,1.0,0.0005635039596839409,0.14200299784035308,14.200299784035309,0.0926006451718893,9.26006451718893,1.5334990115539802,0.5210084033613446,-0.06665300639763505,0.0005635039596839409,5.635039596839409,1.4902931611940127,0.13747681906206566,2011
replication,always_long,paper_statistical,r_LH,0,238,238,1.0,-0.0003621553821277411,-0.09126315629619075,-9.126315629619075,0.09285497009306495,9.285497009306495,-0.9828569887505344,0.5210084033613446,-0.11460531374790339,-0.0003621553821277411,-3.621553821277411,-0.9551653034861458,0.34046734696355685,2011
replication,timing_rONFH,paper_statistical,r_LH,0,232,232,1.0,-2.969416736136101e-05,-0.007482930175062975,-0.7482930175062975,0.060863810814615296,6.086381081461529,-0.12294547572538936,0.49137931034482757,-0.07510599462050527,-2.969416736136101e-05,-0.2969416736136101,-0.11796584251907741,0.9061972325097147,2012
replication,timing_agree_ONFH_ROD,paper_statistical,r_LH,0,232,182,0.7844827586206896,-6.897830247665981e-05,-0.01738253222411827,-1.7382532224118272,0.05421834375585349,5.421834375585349,-0.3206024201401694,0.3793103448275862,-0.06368401057004425,-6.897830247665981e-05,-0.6897830247665981,-0.3076171317598157,0.7586508505681517,2012
replication,timing_rROD,paper_statistical,r_LH,0,232,232,1.0,-4.214971246474232e-05,-0.010621727541115065,-1.0621727541115065,0.0608619502422606,6.086195024226059,-0.174521642813537,0.49137931034482757,-0.0464253250797757,-4.214971246474232e-05,-0.42149712464742317,-0.16745303160481292,0.8671601022699149,2012
replication,always_long,paper_statistical,r_LH,0,232,232,1.0,0.00043154503628360603,0.10874934914346872,10.874934914346872,0.06047721244500602,6.047721244500602,1.7981871972415757,0.5948275862068966,-0.04395333575982385,0.00043154503628360603,4.31545036283606,1.7253556218971566,0.08580077117442708,2012
replication,timing_rONFH,paper_statistical,r_LH,0,238,238,1.0,-0.00021195320258336233,-0.053412207051007306,-5.3412207051007305,0.04811478871392893,4.811478871392893,-1.1100995863989902,0.42857142857142855,-0.07861135319882517,-0.00021195320258336233,-2.119532025833623,-1.0788228811300293,0.2817634301253329,2013
replication,timing_agree_ONFH_ROD,paper_statistical,r_LH,0,238,178,0.7478991596638656,-5.775852699012773e-05,-0.014555148801512189,-1.4555148801512188,0.04369335036864581,4.369335036864581,-0.33312045605815827,0.3445378151260504,-0.04553011106323723,-5.775852699012773e-05,-0.5775852699012773,-0.32373489241067477,0.7464242471145266,2013
replication,timing_rROD,paper_statistical,r_LH,0,238,238,1.0,8.345063091812945e-05,0.021029558991368623,2.1029558991368624,0.048214512483850114,4.821451248385012,0.4361665794798332,0.5084033613445378,-0.03196368807826988,8.345063091812945e-05,0.8345063091812945,0.4238777238476878,0.6720394510023822,2013
replication,always_long,paper_statistical,r_LH,0,238,238,1.0,0.0004420882295814184,0.11140623385451744,11.140623385451743,0.047717317111820805,4.77173171118208,2.33471285892809,0.5672268907563025,-0.03321235210716955,0.0004420882295814184,4.4208822958141845,2.2689330614477394,0.02417229570011803,2013
replication,timing_rONFH,paper_statistical,r_LH,0,233,233,1.0,0.00024127328407138885,0.060800867585989994,6.080086758598999,0.06533406323728758,6.533406323728758,0.930615127443805,0.5107296137339056,-0.03156747532693038,0.00024127328407138885,2.4127328407138884,0.8948449632823011,0.3717974001105553,2014
replication,timing_agree_ONFH_ROD,paper_statistical,r_LH,0,233,187,0.8025751072961373,0.0002898669638328198,0.0730464748858706,7.30464748858706,0.05319006643327221,5.319006643327221,1.3733104653574473,0.40772532188841204,-0.02094777201449738,0.0002898669638328198,2.8986696383281982,1.3205243679237222,0.18796120495959823,2014
replication,timing_rROD,paper_statistical,r_LH,0,233,233,1.0,0.00033846064359425076,0.0852920821857512,8.52920821857512,0.06522484366491232,6.522484366491232,1.3076625008705698,0.5021459227467812,-0.02636819202415963,0.00033846064359425076,3.3846064359425077,1.257399722043339,0.20987320156917777,2014
replication,always_long,paper_statistical,r_LH,0,233,233,1.0,0.00011781952901775872,0.0296905213124752,2.96905213124752,0.06541987063483275,6.541987063483274,0.4538456133336728,0.5493562231759657,-0.07807040127733034,0.00011781952901775872,1.1781952901775872,0.4364010956010678,0.6629515865752866,2014
replication,timing_rONFH,paper_statistical,r_LH,0,237,237,1.0,0.0012297943086448566,0.3099081657785039,30.99081657785039,0.1351102889572629,13.511028895726291,2.293742158130768,0.5443037974683544,-0.09940521177487593,0.0012297943086448566,12.297943086448566,2.224428749436704,0.027066261537769476,2015
replication,timing_agree_ONFH_ROD,paper_statistical,r_LH,0,237,183,0.7721518987341772,0.0007762409271208255,0.19561271363444804,19.561271363444803,0.12163728220189701,12.163728220189702,1.6081641261086754,0.4008438818565401,-0.09245386010252876,0.0007762409271208255,7.762409271208255,1.5595678456047928,0.12020200396727398,2015
replication,timing_rROD,paper_statistical,r_LH,0,237,237,1.0,0.00034735589643905047,0.08753368590264071,8.75336859026407,0.13640745665722573,13.640745665722573,0.6417074846766004,0.48945147679324896,-0.11396566169550526,0.00034735589643905047,3.4735589643905045,0.6223160578809765,0.534334856071095,2015
replication,always_long,paper_statistical,r_LH,0,237,237,1.0,0.0009275717624448595,0.2337480841361046,23.37480841361046,0.13571953273790455,13.571953273790454,1.7222877165920427,0.510548523206751,-0.03943569090308596,0.0009275717624448595,9.275717624448594,1.6702427942951987,0.0961970347278378,2015
replication,timing_rONFH,paper_statistical,r_LH,0,239,239,1.0,0.0008638646358764948,0.21769388824087668,21.769388824087667,0.09495030688045143,9.495030688045142,2.2927138983865247,0.5271966527196653,-0.06312261939643515,0.0008638646358764948,8.638646358764948,2.232793420651959,0.02649327331671203,2016
replication,timing_agree_ONFH_ROD,paper_statistical,r_LH,0,239,186,0.7782426778242678,0.0007486254146228393,0.1886536044849555,18.86536044849555,0.08649738886964371,8.649738886964371,2.181032363523329,0.41841004184100417,-0.04491057869515214,0.0007486254146228393,7.486254146228393,2.124030702187024,0.03469923014467291,2016
replication,timing_rROD,paper_statistical,r_LH,0,239,239,1.0,0.0006333861933691838,0.15961332072903434,15.961332072903433,0.09540905270288748,9.540905270288748,1.6729368566951903,0.5230125523012552,-0.06047414738650636,0.0006333861933691838,6.333861933691838,1.6292143600751434,0.10459048838743135,2016
replication,always_long,paper_statistical,r_LH,0,239,239,1.0,0.0004075181472150505,0.10269457309819272,10.269457309819272,0.09572033872687057,9.572033872687056,1.0728605274916807,0.5230125523012552,-0.06625634214448795,0.0004075181472150505,4.075181472150505,1.044821130428183,0.29716567151783946,2016
replication,timing_rONFH,paper_statistical,r_LH,0,238,238,1.0,8.257319268511332e-05,0.020808444556648556,2.0808444556648555,0.05164793208400177,5.1647932084001775,0.40289017811603894,0.5126050420168067,-0.031135209835882027,8.257319268511332e-05,0.8257319268511332,0.39153887458337966,0.6957507630691864,2017
replication,timing_agree_ONFH_ROD,paper_statistical,r_LH,0,238,182,0.7647058823529411,0.00016796631313748352,0.04232751091064585,4.232751091064585,0.046664348887464506,4.66643488874645,0.9070631417728049,0.42016806722689076,-0.020732728813957824,0.00016796631313748352,1.6796631313748351,0.8815069242107447,0.3789366186733507,2017
replication,timing_rROD,paper_statistical,r_LH,0,238,238,1.0,0.00025335943358985373,0.06384657726464314,6.384657726464314,0.05150718369073366,5.150718369073366,1.2395664583021917,0.5588235294117647,-0.023471328392633106,0.00025335943358985373,2.5335943358985373,1.204642064803974,0.2295430895379038,2017
replication,always_long,paper_statistical,r_LH,0,238,238,1.0,0.00018788959177051486,0.047348177126169746,4.734817712616975,0.051578101861374286,5.157810186137429,0.9179899107847503,0.5210084033613446,-0.07864319629843486,0.00018788959177051486,1.8788959177051487,0.8921258349565349,0.37323036796320697,2017
replication,timing_rONFH,paper_statistical,r_LH,0,238,238,1.0,-0.00012939278576413712,-0.032606982012562555,-3.2606982012562553,0.07196072252864837,7.196072252864837,-0.4531219374511054,0.46638655462184875,-0.07744428701376971,-0.00012939278576413712,-1.293927857641371,-0.44035536996274943,0.6600810995810797,2018
replication,timing_agree_ONFH_ROD,paper_statistical,r_LH,0,238,176,0.7394957983193278,-0.00018025359040644965,-0.04542390478242531,-4.542390478242531,0.06392807921565312,6.3928079215653115,-0.7105469981225877,0.31932773109243695,-0.08219471878192586,-0.00018025359040644965,-1.8025359040644966,-0.6905275608465904,0.4905381874131338,2018
replication,timing_rROD,paper_statistical,r_LH,0,238,238,1.0,-0.00023111439504876219,-0.05824082755228807,-5.824082755228807,0.07189621275917661,7.189621275917661,-0.8100680872770227,0.42436974789915966,-0.1055771141124302,-0.00023111439504876219,-2.311143950487622,-0.7872446747436107,0.4319252086146155,2018
replication,always_long,paper_statistical,r_LH,0,238,238,1.0,-0.0003258863391182114,-0.08212335745778927,-8.212335745778928,0.07180324988023794,7.180324988023794,-1.143727583288562,0.4831932773109244,-0.15090573514080852,-0.0003258863391182114,-3.2588633911821137,-1.111503419827213,0.2674780018197591,2018
replication,timing_rONFH,paper_statistical,r_LH,0,238,238,1.0,3.255231080622145e-05,0.008203182323167805,0.8203182323167805,0.07310680764555422,7.310680764555421,0.11220818672509301,0.4495798319327731,-0.0610596766731023,3.255231080622145e-05,0.32552310806221446,0.10904675650030606,0.9132576758342896,2019
replication,timing_agree_ONFH_ROD,paper_statistical,r_LH,0,238,177,0.7436974789915967,7.360800107209385e-05,0.01854921627016765,1.854921627016765,0.06347017632852231,6.347017632852231,0.29225090181184793,0.31932773109243695,-0.05004061950031313,7.360800107209385e-05,0.7360800107209384,0.28401682494834046,0.776645460849458,2019
replication,timing_rROD,paper_statistical,r_LH,0,238,238,1.0,0.00011466369133796624,0.028895250217167493,2.889525021716749,0.07308588281900438,7.308588281900438,0.3953602132538504,0.44537815126050423,-0.08687698830054713,0.00011466369133796624,1.1466369133796623,0.38422106410316353,0.7011591138168676,2019
