sample,strategy,strategy_price_type,return_basis,round_trip_ticks,nobs,trade_count,trade_rate,avg_daily,avg_ann,avg_ann_pct,vol_ann,vol_ann_pct,sharpe,success_rate,max_drawdown,avg_trade_return,avg_trade_return_bp,t_stat_mean,p_value_mean
replication,timing_rONFH,paper_statistical,r_LH,0,2379,2379,1.0,1.3458979469194655e-05,0.003391662826237053,0.3391662826237053,0.009767178479646876,0.9767178479646875,0.3472510339915152,0.4295922656578394,-0.02635841566948427,1.3458979469194655e-05,0.13458979469194654,1.0669412305984802,0.2861066804251795
replication,timing_agree_ONFH_ROD,paper_statistical,r_LH,0,2379,1803,0.7578814627994955,2.4867454769698398e-05,0.006266598601963996,0.6266598601963996,0.007982300504904612,0.7982300504904613,0.7850617247638788,0.3287095418242959,-0.022252291099075117,2.4867454769698398e-05,0.248674547696984,2.412130247928375,0.015934892204926054
replication,timing_rROD,paper_statistical,r_LH,0,2379,2379,1.0,3.220346777771068e-05,0.00811527387998309,0.811527387998309,0.009756125927321755,0.9756125927321755,0.8318131541595313,0.43673812526271544,-0.02764363448810303,3.220346777771068e-05,0.3220346777771068,2.5557756880535565,0.010656827816139858
replication,always_long,paper_statistical,r_LH,0,2379,2379,1.0,-1.553863587903866e-05,-0.003915736241517742,-0.3915736241517742,0.009766400165022568,0.9766400165022568,-0.400939565792274,0.416141235813367,-0.04747139392754007,-1.553863587903866e-05,-0.1553863587903866,-1.231901166153134,0.2181078037073918
replication,timing_rONFH,paper_statistical,r_LH,1,2379,2379,1.0,-0.00010988541783698023,-0.02769112529491902,-2.769112529491902,0.009766827762126446,0.9766827762126445,-2.835222036196743,0.3724253888188314,-0.23873088197617864,-0.00010988541783698023,-1.0988541783698023,-8.711321183261315,0.0
replication,timing_agree_ONFH_ROD,paper_statistical,r_LH,1,2379,1803,0.7578814627994955,-6.857490988741122e-05,-0.01728087729162763,-1.7280877291627628,0.00800198567752286,0.800198567752286,-2.1595736343503673,0.28247162673392184,-0.1636533521508332,-6.857490988741122e-05,-0.6857490988741122,-6.6353672860715305,3.994937713969193e-11
replication,timing_rROD,paper_statistical,r_LH,1,2379,2379,1.0,-9.11409295284642e-05,-0.022967514241172975,-2.2967514241172977,0.009754949738969992,0.9754949738969991,-2.3544472145684345,0.37957124842370743,-0.2077150203848045,-9.11409295284642e-05,-0.911409295284642,-7.234123336122851,6.290523657526137e-13
replication,always_long,paper_statistical,r_LH,1,2379,2379,1.0,-0.00013888303318521355,-0.03499852436267381,-3.499852436267381,0.00976304620142556,0.9763046201425559,-3.584795528014962,0.3619167717528373,-0.2829052468387504,-0.00013888303318521355,-1.3888303318521356,-11.014412565284594,0.0
replication,timing_rONFH,paper_statistical,r_LH,2,2379,2379,1.0,-0.00023322981514315512,-0.05877391341607509,-5.877391341607509,0.00976694329937349,0.976694329937349,-6.0176363898667455,0.27952921395544345,-0.4287742862604802,-0.00023322981514315512,-2.332298151431551,-18.48940318851722,0.0
replication,timing_agree_ONFH_ROD,paper_statistical,r_LH,2,2379,1803,0.7578814627994955,-0.00016201727454452083,-0.04082835318521925,-4.082835318521925,0.008109241850827112,0.8109241850827111,-5.034792886471244,0.21395544346364018,-0.32133499054039794,-0.00016201727454452083,-1.6201727454452084,-15.469581346822887,0.0
